Live meat animals,Meats,Fish and shellfish,Dairy,Vegetables,Fruits,Nuts,"Coffee, tea, and spices",Grains,Vegetable oils,Sugar and candy,Cocoa and chocolate,Other foods,Beverages
1169.18,3260.54,8859.78,930.31,3631.59,4764.46,793.94,3603.74,2659.48,1356.94,1617.65,1522.5,2121.49,4411.84
1401.33,3827.67,9879.78,922.33,3771.36,4629.48,808.7,3441.76,2734.78,1362.45,1571.58,1404.47,2101.73,4815.91
1751.41,4256.18,9663.26,995.75,4156.61,4665.21,670.22,2400.73,2989.8,1177.02,1580.9,1535.93,2251.98,5101.3
1695.71,4283.46,9963.35,1008.77,4391.09,5067.56,700.52,2454.96,3342.8,1301.64,1842.61,1760.85,2481.98,5794.68
1254.37,4426.8,10859.89,1110.3,5082.41,5557.74,775.58,2871.86,3618.22,1506.52,2130.77,2439.23,3637.18,6597.5
1101.67,5718.5,11106.29,1292.3,5729.99,5962.38,1078.37,3144.28,4010.49,2240.95,2111.35,2484.38,4784.41,7024.26
1650.64,5751.92,11840.23,1388.44,6043.08,6873.76,1121.94,3770.81,4240.66,2362.6,2473.69,2750.6,5536.42,7887.49
2141.05,5243.63,13112.29,1405.67,6619.3,7707.09,1099.43,4194.91,4910.13,2818.32,3021.16,2659.23,5963.09,9212.12
2544.69,5367.32,13434.57,1500.81,7256.04,9217.31,1181.41,4791.2,5914.78,3516.66,2606.16,2661.59,6080,9912.73
2219.04,5059.82,13911.95,1595.57,7800.57,9888.16,1350.68,5580.84,7689.61,5694.64,3011.03,3298.82,6700.76,9832.88
1625.61,4612.1,12933.85,1353.43,7525.21,9639.79,1278.3,5160.34,6846.1,4039.42,3081.15,3476.22,6111.26,8720.95
1967.26,5087.84,14516.66,1347.2,8705.59,10648.98,1461.7,6265.02,7137.52,4508.83,4107.44,4295.16,6781.56,9262.84
1844.64,5755.23,16459.37,1502.12,9666.64,11973.91,1863.24,9715.77,8062.84,6793.57,5207.37,4680.55,8133.18,10142.85
2149.08,6245.21,16467.53,1604.17,9945.6,12537.87,1999.57,8725.69,9111.1,6235.87,4783.52,4095.69,10977.58,10858.46
2148.49,6529.83,17784.32,1649.07,10733.51,13602.26,2000.19,7633.19,10257,6664.52,4327.4,4158.85,9830.99,11247.59
2945.97,8940.36,20053.52,1844.34,10929.74,14807.72,2360.54,8298.81,10030.9,7336.6,4582.29,4727.95,9715.76,11964.05
2593.61,9991.72,18520.8,1893.47,11290.19,15954.86,2767.26,8536.21,10030.17,6304.05,4705.27,4859.68,9591.57,12785.68
1990.74,8589.1,19260.73,1875.77,12469.21,17157.02,2870.77,8310.91,10178.58,6521.58,4693.15,5080.62,9350.96,13492.88
1942.88,8877.56,21324.07,1827.17,12742.98,18383.12,3300.62,9068.85,10860.8,7224.74,4720.46,5006.54,10133.88,14382.93
