Food_Type_Number,Food_Type,Food_Group,Year,ImportQuantity_In_1000metrictons,Annual_Growth_In_ImportQuantity,Import_Value_In_MillionDollars,Annual_Growth_In_ImportValue
1,Live meat animals,Animal foods,1999,"6,058.40",0,"1,189.70",0
1,Live meat animals,Animal foods,2000,"6,521.80",7.6,"1,419.00",19.3
1,Live meat animals,Animal foods,2001,"7,758.10",19,"1,771.20",24.8
1,Live meat animals,Animal foods,2002,"8,302.90",7,"1,723.90",-2.7
1,Live meat animals,Animal foods,2003,"9,223.20",11.1,"1,276.70",-25.9
1,Live meat animals,Animal foods,2004,"9,866.30",7,"1,134.30",-11.2
1,Live meat animals,Animal foods,2005,"9,951.90",0.9,"1,672.00",47.4
1,Live meat animals,Animal foods,2006,"10,985.50",10.4,"2,172.00",29.9
1,Live meat animals,Animal foods,2007,"12,419.50",13.1,"2,588.00",19.2
1,Live meat animals,Animal foods,2008,"11,558.60",-6.9,"2,266.40",-12.4
1,Live meat animals,Animal foods,2009,"8,350.00",-27.8,"1,655.50",-27
1,Live meat animals,Animal foods,2010,"7,997.60",-4.2,"2,007.10",21.2
1,Live meat animals,Animal foods,2011,"7,872.70",-1.6,"1,886.50",-6
1,Live meat animals,Animal foods,2012,"7,909.80",0.5,"2,192.00",16.2
1,Live meat animals,Animal foods,2013,"6,947.30",-12.2,"2,190.20",-0.1
1,Live meat animals,Animal foods,2014,"7,232.60",4.1,"3,008.60",37.4
1,Live meat animals,Animal foods,2015,"7,661.20",5.9,"2,772.50",-7.8
1,Live meat animals,Animal foods,2016,"7,335.20",-4.3,"2,102.90",-24.2
1,Live meat animals,Animal foods,2017,"7,365.60",0.4,"2,020.00",-3.9
2,Meats,Animal foods,1999,"1,439.60",0,"3,260.50",0
2,Meats,Animal foods,2000,"1,578.10",9.6,"3,827.70",17.4
2,Meats,Animal foods,2001,"1,634.00",3.5,"4,256.20",11.2
2,Meats,Animal foods,2002,"1,700.00",4,"4,283.50",0.6
2,Meats,Animal foods,2003,"1,659.20",-2.4,"4,426.80",3.3
2,Meats,Animal foods,2004,"1,839.30",10.9,"5,718.50",29.2
2,Meats,Animal foods,2005,"1,797.10",-2.3,"5,751.90",0.6
2,Meats,Animal foods,2006,"1,627.40",-9.4,"5,243.60",-8.8
2,Meats,Animal foods,2007,"1,628.20",0.1,"5,367.30",2.4
2,Meats,Animal foods,2008,"1,411.50",-13.3,"5,059.80",-5.7
2,Meats,Animal foods,2009,"1,445.40",2.4,"4,612.10",-8.8
2,Meats,Animal foods,2010,"1,371.50",-5.1,"5,087.80",10.3
2,Meats,Animal foods,2011,"1,270.10",-7.4,"5,755.20",13.1
2,Meats,Animal foods,2012,"1,336.60",5.2,"6,245.20",8.5
2,Meats,Animal foods,2013,"1,400.50",4.8,"6,529.80",4.6
2,Meats,Animal foods,2014,"1,720.20",22.8,"8,940.40",36.9
2,Meats,Animal foods,2015,"1,943.60",13,"9,991.70",11.8
2,Meats,Animal foods,2016,"1,825.80",-6.1,"8,589.10",-14
2,Meats,Animal foods,2017,"1,848.20",1.2,"8,877.60",3.4
3,Fish and shellfish,Animal foods,1999,"1,677.80",0,"8,859.80",0
3,Fish and shellfish,Animal foods,2000,"1,710.90",2,"9,879.80",11.5
3,Fish and shellfish,Animal foods,2001,"1,755.20",2.6,"9,663.30",-2.2
3,Fish and shellfish,Animal foods,2002,"1,898.30",8.2,"9,963.30",3.1
3,Fish and shellfish,Animal foods,2003,"2,078.60",9.5,"10,859.90",9
3,Fish and shellfish,Animal foods,2004,"2,116.70",1.8,"11,106.30",2.3
3,Fish and shellfish,Animal foods,2005,"2,196.10",3.8,"11,840.20",6.6
3,Fish and shellfish,Animal foods,2006,"2,313.70",5.4,"13,112.30",10.7
3,Fish and shellfish,Animal foods,2007,"2,284.60",-1.3,"13,434.60",2.5
3,Fish and shellfish,Animal foods,2008,"2,250.40",-1.5,"13,912.00",3.6
3,Fish and shellfish,Animal foods,2009,"2,246.80",-0.2,"12,933.90",-7
3,Fish and shellfish,Animal foods,2010,"2,342.00",4.2,"14,516.70",12.2
3,Fish and shellfish,Animal foods,2011,"2,345.60",0.2,"16,459.40",13.4
3,Fish and shellfish,Animal foods,2012,"2,361.50",0.7,"16,467.50",0
3,Fish and shellfish,Animal foods,2013,"2,378.40",0.7,"17,784.30",8
3,Fish and shellfish,Animal foods,2014,"2,450.00",3,"20,053.50",12.8
3,Fish and shellfish,Animal foods,2015,"2,496.90",1.9,"18,520.80",-7.6
3,Fish and shellfish,Animal foods,2016,"2,553.70",2.3,"19,260.70",4
3,Fish and shellfish,Animal foods,2017,"2,623.10",2.7,"21,324.10",10.7
4,Dairy,Animal foods,1999,242.5,0,930.3,0
4,Dairy,Animal foods,2000,226.9,-6.4,922.3,-0.9
4,Dairy,Animal foods,2001,272.1,19.9,995.8,8
4,Dairy,Animal foods,2002,270.3,-0.7,"1,008.80",1.3
4,Dairy,Animal foods,2003,265.4,-1.8,"1,110.30",10.1
4,Dairy,Animal foods,2004,283.1,6.7,"1,292.30",16.4
4,Dairy,Animal foods,2005,289.3,2.2,"1,388.40",7.4
4,Dairy,Animal foods,2006,276.6,-4.4,"1,405.70",1.2
4,Dairy,Animal foods,2007,268.8,-2.8,"1,500.80",6.8
4,Dairy,Animal foods,2008,224.7,-16.4,"1,595.60",6.3
4,Dairy,Animal foods,2009,224,-0.3,"1,353.40",-15.2
4,Dairy,Animal foods,2010,187.1,-16.5,"1,347.20",-0.5
4,Dairy,Animal foods,2011,187,0,"1,502.10",11.5
4,Dairy,Animal foods,2012,209.8,12.2,"1,604.20",6.8
4,Dairy,Animal foods,2013,194.5,-7.3,"1,649.10",2.8
4,Dairy,Animal foods,2014,224,15.2,"1,844.30",11.8
4,Dairy,Animal foods,2015,276.2,23.3,"1,893.50",2.7
4,Dairy,Animal foods,2016,300.3,8.7,"1,875.80",-0.9
4,Dairy,Animal foods,2017,281,-6.4,"1,827.20",-2.6
5,Vegetables,Plant Foods,1999,"4,784.90",0,"3,631.60",0
5,Vegetables,Plant Foods,2000,"4,746.90",-0.8,"3,771.40",3.8
5,Vegetables,Plant Foods,2001,"5,125.40",8,"4,156.60",10.2
5,Vegetables,Plant Foods,2002,"5,566.70",8.6,"4,391.10",5.6
